DOI,Author Keywords
10.1371/journal.pone.0153586,
10.3375/043.036.0210,Canyon Wren; Catherpes mexicanus; nestling diet; photography
10.1061/(ASCE)WR.1943-5452.0000641,
10.1007/s11165-016-9514-1,Collaborative learning; Inquiry-based learning; Mobile learning; Scenario planning; Science learning
10.1177/1075547016632537,audience; festivals; generic venues; informal venues; public engagement; science communication
10.1086/685095,Biodiversity monitoring; Detection probability; Habitat niche; Introduced species; Invasive species; Ranidae
10.1007/s11569-015-0239-9,Nanotechnology; Public sphere; REACH; Upstream public engagement
10.1002/ece3.2009,Biotic homogenization; Citizen science; Flower visitor assemblages; Macroecology; Pollination; Specialisation
10.1002/ece3.1996,Bats; Conservation; Cryptic species; Land use; Population trends; Urban ecology
10.1111/1365-2664.12561,Abundance indices; Butterfly count; Butterfly monitoring scheme; Citizen science; Flight period; Insect conservation; Missing data; Pollard walk; Sampling effort; Seasonal pattern
10.1111/1365-2664.12579,Andrewartha & Birch; Breeding Bird Survey; Conservation planning; Demography; Hierarchical clustering; Local population; Monitoring; Natural population; Population dynamics
10.1016/j.jhydrol.2016.01.036,Citizen observatories; Citizen science; Data sharing; ICT-enabled citizen participation; Theory of Planned Behavior
10.1007/s11852-016-0423-2,Awareness and perception; Integrated coastal zone management; Jellyfish; Media
10.1016/j.envsoft.2015.12.015,Big data; Cloud computing; Crowdtasking; Environmental informatics; Environmental observation web; Environmental specific enablers; Future internet; Internet of things; Volunteered geographic information
10.1111/tgis.12168,
10.1007/s00484-015-1053-3,Biometeorology; Japan; Phenological observation network; Phenology; Remote sensing
10.1016/j.isprsjprs.2015.04.002,GIS; Mobile; Participation; Volunteered Geographic Information; Web mapping
10.1093/biosci/biw005,ecology; environmental science; modeling; monitoring/mapping; nutrient cycling
10.1186/s12961-016-0093-4,Funding; Health; Policy; Public engagement; Qualitative research; Research
10.1371/journal.pone.0150794,
10.1371/journal.pntd.0004551,
10.3390/s16030373,Arduino; Buoy; Citizen science; Diffuse attenuation coefficient; Do-it-yourself; KdUINO; Light; Low-cost sensor; Oceanography
10.1016/j.eswa.2015.10.010,Location-based services; Network analysis; Network space; Spatial co-location patterns; Spatial data mining
10.1103/PhysRevE.93.032311,
10.1080/09669582.2015.1136637,Climate change; desirable futures; socio-technical factors; technology myths; transport taboos
10.1080/17524032.2014.999695,coproduction; democratization; journalism; public engagement; science writing
10.1371/journal.pone.0151387,
10.3390/ijgi5030037,Data analysis; Framework; Mapping activity; Volunteered geographic information
10.1371/journal.pone.0147121,
10.5849/jof.14-118,Adaptive management; Citizen science; Collaboration; Forest management; Landscape; Monitoring
10.1371/journal.pone.0150899,
10.3847/0004-6256/151/3/73,instrumentation: detectors; Kuiper Belt: general; methods: data analysis; methods: observational; occultations
10.1007/s12562-016-0967-y,Angling; Ecosystem services; England; Environmental threats; Fisheries management; Fishing; Great Britain; Natural capital; Northern Ireland; Scotland; Wales
10.1371/journal.pone.0146964,
10.1177/0265813515604767,automatic generation; land parcel; OpenStreetMap (OSM); points of interest (POI); urban planning
10.1002/2015SW001320,aurora; citizen science; visibility
10.1111/gcb.13129,Apex predator; Black marlin (Istiompax indica); Boundary current; Climate change; Distribution shift; Habitat suitability; MaxEnt; Species distribution modelling; Tunas and billfishes
10.1002/fee.1222,
10.1016/j.future.2015.07.005,Citizen science; Data analysis and validation; Forest monitoring
10.1111/geoj.12116,Chemtrails; Climate change; Conspiracy; Discourse analysis; Geoengineering; Public engagement
10.1016/j.ecolind.2015.11.004,Biological indicators; Citizen science; Latitudinal gradient; Recording scheme; Spatial variation
10.1016/j.apgeog.2016.01.005,Disaster management; Information quality; Logistic regression; Time-critical response; Volunteered geographic information
10.1016/j.jenvp.2016.01.007,Climate change; Communication; Compassion; Emotional appeals; Policy support
10.1016/j.envsoft.2015.11.016,Biases; Citizen science; Crowdsourcing; Serious games; Social media; Uncertainty
10.1016/j.biocon.2015.12.027,Biodiversity; Mojave and Sonoran Deserts; Reptiles; Scientific rigor; Sustainability; Volunteers
10.1016/j.resourpol.2015.11.002,CSR; Pebble Mine; Social license; Stakeholder engagement
10.1016/j.jmb.2015.11.013,benchmark; citizen science; inverse folding; RNA design; RNA secondary structure
10.1371/journal.pone.0148867,
10.3390/ijgi5020010,GIS; Operation; Reputation; Spatiooral model; Trust; VGI
10.3390/ijgi5020021,Behavior; Expertise; OpenStreetMap; Volunteered geographic information
10.1175/BAMS-D-13-00247.1,
10.1093/biosci/biv174,biodiversity; environmental research; global change; nature conservation; sustainability
10.1111/jfb.12857,Capture-mark-recapture studies; Citizen science; I3S Pattern; Photo-tagging
10.1080/17538947.2014.1002865,citizen science; mobile; public participation in scientific research; RapidEye; red edge; WUI
10.1080/17538947.2014.976774,Citizen Science; information quality; quality improvement; Volunteered Geographic Information
10.1371/journal.pone.0147058,
10.1177/0963662514549141,dialogue; IRaMuTeQ; public engagement; science communication; text mining
10.1177/0963662514545014,discourses of science; energy policy; public consultations; public participation
10.1080/13549839.2014.929094,adaptive co-management; civic ecology practices; outcomes monitoring; public participation in scientific research; stewardship
10.1016/j.jglr.2015.10.015,Citizen science; Coastal wetland; Great Lakes; Marsh bird; Multi-scale; Multi-season site occupancy model
10.1111/1467-9566.12370,Ethnography; Patient and public engagement; Safety
10.1002/jwmg.1003,boreal birds; citizen science; hierarchical models; landbirds; migration monitoring; model selection; population trends; simulation
10.1111/gcb.13097,Citizen science; Climate change; Farmland birds; Global change attribution; Land-use change; Multiple temporal scales; Multiscale inference; Population time series
10.1111/gcb.13122,MODIS; Deciduous forest; Phenology models; Species composition; Spring phenology
10.1016/j.eiar.2016.01.002,Decision making; Deliberative rationality; Environmental assessment; Game theory; Instrumental rationality; Legitimacy
10.1016/j.cosust.2015.09.005,
10.1007/s10763-014-9569-2,action research; citizen science; collaborative learning; content analysis; curriculum; school science; teacher professional learning
10.1007/s00267-015-0613-y,Citizen science data; Corridor; Ecosystem services; Green infrastructure; Spatial conservation prioritization; Systematic conservation planning; Zonation software
10.1111/1745-5871.12150,Community-based monitoring; Indigenous; Natural resource management; Rangelands; South Australia
10.1016/j.cageo.2015.12.003,Citizen science; Crowdsourcing; Interoperability; Quality assurance; Web processing service
10.1016/j.marpol.2015.10.010,Bottom-towed gear; Citizen science; Fisheries; Legislation; Marine Protected Area; Pink sea fan
10.5194/bg-13-253-2016,
10.1080/21548455.2014.942241,Citizen science; Commons; Crowdsourcing; Engagement; Participatory science; Saga pedo; Web 2.0
10.1080/21548455.2015.1016134,LifeLab; Scientists’ views of public engagement; Scientist–student interactions; Secondary education; Views of scientists
10.1080/21548455.2014.995743,Evaluation; Popularizing science; Public awareness; Public engagement; Qualitative research
10.1080/10598650.2015.1126060,Data visualizations; evaluation; museum education; partnership; planetariums; public engagement with science; systems thinking
10.1080/17489725.2016.1170216,crime hot spots; least cost; open data; Routing; safety index; shortest path; VGI
10.1080/03098265.2015.1086981,constructive alignment; core spatial concepts; peer assessment; reflective writing; self-assessment; structured and open-ended laboratories
10.1093/mnras/stv1965,Gravitational lensing: strong; Methods: statistical
10.3402/polar.v35.24980,Antarctic; Arctic; Citizen science; IPTRN; Observation systems; Tourism
10.1371/journal.pone.0150935,
10.1016/j.jag.2015.11.017,Citizen science; Coastal zone management; Forel Ule; MERIS; Water color
10.1093/jee/tov296,Aethina tumida; Apis mellifera; Citizen science; Entomopathogenic nematode; Heterorhabditis indica
10.1656/058.015.0205,
10.7203/metode.6.4402,Citizen science; Ethnobiology; Ethnobotany; Multidisciplinarity; Natural science; Social science
10.1177/1464884914564845,Climate change; cultural industries; environment; professional norms; science journalism
10.1139/er-2015-0041,Arctic; Community-based monitoring; Indigenous peoples; Subarctic; Systematic literature review
10.3390/rs8050386,Canny edge filter; CART; EartH2Observe; HAND; Landsat 8; MNDWI; OpenStreetMap; Otsu thresholding; Rivers; SRTM; Water mask
10.1071/MU16003,body size; citizen science; migration strategy; phenology; staging; wader
10.1071/MU15056,
10.1177/1075547016642240,media advocacy; newspapers; op-eds; qualitative analysis; science communication; speech act theory
10.7717/peerj.1960,Coral cover; Coral health; Coral reef; Diversity; Photogrammetry; Structure-from-motion; Transects
10.7717/peerj.1980,Community shifts; Echinoderm population; Environmental change; Marine diseases; Mass mortality; Sea star wasting syndrome; Starfish
10.3897/zookeys.585.8019,Butterflies; Citizen science; Collection; Distribution; Literature; Monitoring; Observations
10.7717/peerj.1815,Bleaching; Chlorophyll; Citizen science; Color; Coral; Zoantharian; Zooxanthellae
10.1177/0971721815622740,
10.5751/ES-07988-210122,Afar region; Citizen science; Cryptostegia grandiflora; Ethiopia; Invasive species; Local ecological knowledge; Maxent; Participatory mapping; Pastoral livelihoods; Risk assessment; Rubber vine; Species distribution modeling
10.1155/2016/8645650,
10.3390/ijgi5010005,Inequality; OpenStreetMap; Volunteered geographical information
10.1177/0963662515609005,Big data; Public engagement with science; Public understanding of science
10.1071/AM15019,citizen science; conservation; environmental planning; long-term monitoring; Phascolarctos cinereus; threatened species; urban wildlife.
10.1578/AM.42.1.2016.12,
10.1371/journal.pone.0147796,
10.1002/ecs2.1216,Alpha diversity; Beta diversity; Christmas Bird Count; Cities; Citizen science; Community similarity; Distance-decay; Macroecology; Species richness; Taylor's power law; Urban ecology
10.3176/proc.2016.1.08,Baltic sea; Biodiversity indicator; Macrovegetation; MSFD; Stormcast
10.1890/15-0416.1,Acridotheres tristis; Citizen science; Colonization; Common Myna; Dynamic occupancy model; Extinction; Invasive species; Multi-season model; Southern African Bird Atlas Project; Spatiotemporal processes; Species distribution maps
10.1111/icad.12142,Citizen science; Conservation status; Cynipidae; Distribution; Gall wasps; Large-scale survey; Specialist herbivores
10.1080/13658816.2015.1101116,population grids; Public service systems; spatial planning and policy
10.1002/tea.21297,evaluation; impact; informal science learning; methodology; public engagement with science
10.1007/s10980-015-0262-9,Camera traps; Citizen science; Cyberinfrastructure; eMammal; Macrosystem; Standard metadata
10.1016/j.ecoinf.2015.11.014,Biodiversity observations; Ecological monitoring; Forest ecosystems; Invasive alien species (IAS); Social media mining; Twitter
10.1007/s11284-015-1314-y,Citizen science; History; Human-natural system; Web-based approach; Worldwide case studies
10.1016/j.ocecoaman.2015.11.004,Citizen science; Crowdsourcing; Geodatabase; GIS; Reef conservation; Reef management
10.1016/j.ecoleng.2015.10.028,Azores Bullfinch; Bird census; Population trends; Range size; Volunteered geographic information
10.1080/13658816.2015.1077962,Atlas of Living Australia; biodiversity; biological data; environmental data; GIS; information management; knowledge integration; spatial data infrastructure
10.1016/j.jenvman.2015.08.044,Agriculture; Biodiversity indicators; Citizen science; Farmer; Multi-criteria evaluation; Stakeholders; Volunteer
10.1016/j.future.2015.05.006,Gazetteer; Semantic Web; Volunteered geographic information
10.1007/s11011-015-9687-8,Africa; Higher education; Neuroscience; Non-profit organization; Research funding; Scientific capacity
10.1080/02691728.2014.971911,Community capacities; Epistemic capacities; Expertise; Popular epidemiology; Public participation; Risk assessment; Science shops
10.1186/s12889-015-2617-1,Bioethics; Emerging infectious disease; Health law; Health policy; One health; Zoonoses
10.3390/ijerph121215044,Apparent colour of water; Citizen science; Forel-Ule index; Remote sensing; Water quality
10.1371/journal.pntd.0004235,
10.1016/j.seares.2014.07.008,Biodiversity; Citizen science; Long-term data; Taxonomy
10.1080/09640568.2014.976699,integrated water planning and management; local action; monitoring and evaluation; values
10.3390/land4041200,Biodiversity surveys and monitoring; Conservation and development trade-offs; Integrated landscape management; Landscape approaches; Social learning
10.1002/lom3.10059,
10.1111/aje.12199,
10.1371/journal.pone.0145033,
10.3157/061.141.0301,absence data; citizen science; code system; crowdsourcing; digitization; field notebook; field notes; Melanoplinae; Melanoplus; museum; negative data; rediscovery
10.1111/risa.12466,Alternatives analysis; Alternatives assessment; Chemical regulation; Decision analysis; Prevention-based regulation; Regulatory alternatives analysis
10.1111/cag.12225,Canada; changements climatiques; prévisions; science citoyenne; services écosystémiques
10.1111/jofo.12121,Avian; Citizen Science; Shannon diversity; Shorebirds; Species richness
10.1111/tgis.12135,
10.1111/tgis.12139,
10.1080/00393630.2015.1117856,Conservation science; People-centred approach; Public benefit; Public engagement; Public value
10.1080/00393630.2015.1117861,Citizen science; Communicating value; Heritage science; Heritage science impact; Heritage science vision; ICCROM; Measuring benefit
10.1007/s10393-015-1054-z,Opportunistic; Scanning; Syndromic surveillance; Systematic; Targeted
10.1111/jlme.12327,
10.3390/ijgi4041848,Civil protection; Crisis mapping; Critical infrastructure; Crowdsourcing; Disaster risk management; Geographic information systems; Remote sensing; Volunteered geographic information
10.1098/rsbl.2015.0674,Alan Turing; Citizen science; Collective motion
10.1111/1365-2664.12463,Amphibian; Citizen science; Great crested newt; Modelling; Population assessment; Reptile; Survey and monitoring
10.3138/cart.50.4.3130,Event cartography; Geographic knowledge discovery; Location-based service; OpenStreetMap (OSM); Volunteered geographic information (VGI); Web crawling
10.1650/CONDOR-15-78.1,Accuracy; Citizen science; Generalized linear mixed models; Migration monitoring; Power; Precision; Sampling design; Trend
10.1007/s11252-015-0470-8,Data quality; Environmental education; Open air laboratories; Public participation in scientific research; Scientific literacy; Urban–rural gradient
10.1016/j.cosust.2015.11.006,
10.1080/15265161.2015.1103804,CRISPR; genomic; germline modification; metaphor; public engagement; rhetoric
10.1007/s10841-015-9829-7,Citizen science; Conservation; Immature stages; Monotypic taxon; Neotropical; Riodinini
10.1016/j.biocon.2015.10.009,Breeding Bird Survey; Citizen science; Habitat change; Population decline; Traits
10.1016/j.envsci.2015.05.008,Citizen science; Collaboration; Community-based research; Data collection; Ethics; Public
10.1016/j.biocon.2015.09.002,Citizen science; Data quality; Downscaling; Spatial bias; Urban conservation
10.1016/j.scitotenv.2015.07.104,Carbon monoxide; Community-based monitoring; Nitrogen oxides; Ozone; Particulate matter; Traffic blockages; Traffic diversions
10.1016/j.geoderma.2015.05.006,Opportunistic sampling; Predictive soil mapping; Quality assurance; Unsystematic observations
10.1186/s12966-015-0307-0,Behavioral health research; Citizen science; Ecological; Population health; Systems science; Theory
10.1007/s00040-015-0427-1,Africanized bee; Ancestral identification; Breeding; Citizen science; Crowd source; Single nucleotide polymorphisms
10.1017/S1466046614000489,
10.1016/j.geomorph.2015.03.013,Database; Domains; Landslide; National; Thresholds; Twitter
10.1038/srep16503,
10.1371/journal.pone.0142110,
10.1371/journal.pone.0141371,
10.1371/journal.pone.0140973,
10.1080/00087041.2015.1108658,Accuracy; Citi en science; Neogeography; Thematic mapping
10.1371/journal.pone.0143687,
10.3145/epi.2015.nov.15,AHSS; Arts; Big data; Citizen science; Crowd science; Humanities; Open data; Social sciences
10.1016/j.ecoinf.2015.06.003,Citizen science; Classification; Geo-Wiki; Multi-temporal; Phenology; Remote sensing
10.1016/j.ecoinf.2015.08.007,Count data; Overdispersion; Raptors; Spatial autocorrelation; Species distribution; Uncertainty
10.1007/s13280-015-0709-x,BeeWatch; Biological recording; Bumblebees; Citizen science; National Biodiversity Network; Species distribution
10.1007/s13280-015-0705-1,Biodiversity; Digital conservation; Information and Communication Technology (ICT); Innovation; Nature conservation; The Information Age
10.1007/s13280-015-0704-2,Digital technologies; Impact; Impact assessment; Nature conservation; Partnership working with academia
10.1007/s13280-015-0710-4,Biodiversity monitoring; Citizen science; Data quality; eBird; Species distribution models
10.1007/s13280-015-0715-z,Environmental communication; Public engagement; Visual technology; Wildlife conservation
10.1002/wcc.366,
10.1007/s10661-015-4912-9,Algal bloom monitoring; Citizen science; Phytoplankton; Urban ecosystems
10.1007/s12237-015-9961-3,Citizen science; Hierarchical model; Horseshoe crabs; Limulus polyphemus; Trend analysis
10.1177/0963662515600966,China; content analysis; science communication; science popularization
10.1177/0963662515602848,art and science; public understanding of science; science museums
10.1016/j.biocon.2015.06.009,Automated acoustic monitoring; Bat activity; Bats; Chiroptera; Citizen science; Species distribution; Survey methods
10.1007/s10708-014-9568-4,Location based services; Mobile; Smartphone; Volunteered geographic information; Wayfinding
10.1371/journal.pbio.1002280,
10.1007/s11948-014-9581-5,Ethical issues; Human dignity; Neuromarketing; Neuroscience; Public engagement
10.1371/journal.pone.0140811,
10.1109/FiCloud.2015.112,BI; Big Data; Crime; GeoBI; GIS; MAD Framework; OGC; VGI
10.1007/s10841-015-9811-4,Lepidoptera; Rainfall; Sunshine hours; Temperature; Urban gardens
10.1007/s11191-015-9769-3,
10.1371/journal.pone.0139600,
10.3390/s151025663,Citizen science; Colourimetry; Hue angle; MERIS; MODIS; Ocean colour remote sensing; OLCI; SeaWiFS; Spectral bands; Water quality
10.1177/0963662513517071,bio-based economy; emotions; public engagement; Q methodology; science communication; visual representations
10.1007/s10980-015-0199-z,Citizen science; Community specialisation; Diversity; Evenness; Species richness; Surrogacy approaches
10.1080/21548455.2014.986770,Communication; Education; Engagement; Science; Threshold concept
10.1080/21548455.2015.1004380,Affective domain; Biology; Botany; Informal education; Informal learning; Relevance
10.1080/12538078.2015.1080187,change detection; fresh water; invasive alien species; landscape metrics; plant conservation; Po Plain; social perception; threatened plants
10.1109/TVT.2014.2367029,Energy efficiency; Gur Game; participatory crowdsourcing; quality of information (QoI)
10.18474/JES15-11.1,Adelges tsugae; Citizen science; Forest pest monitoring
10.1109/JSTARS.2015.2495142,Geolocalization; object detection; volunteered geographic information (VGI)
10.1016/j.landurbplan.2015.02.020,Big data; Critical GIS; Mixed methods; Socio-spatial theory; Urban planning
10.1016/j.landurbplan.2013.12.017,Critical GIS; Design; Geodesign; Geography; Mapping; Planning
10.1016/j.landurbplan.2015.08.009,Production of knowledge; Social media; User-generated content; Volunteered geographic information (VGI)
10.1016/j.landurbplan.2015.08.007,China; Sound maps; Visual practices; Volunteered geographic information (VGI)
10.1016/j.ocecoaman.2015.06.014,Framework; Interdisciplinary; Ocean optimism; Public engagement; Research priorities
10.1016/j.ocecoaman.2015.06.012,Citizen science; Coastal conservation; Marine conservation; Toolkit
10.1007/s10641-015-0440-2,Citizen science; Genetics; Mark-recapture; Megalops atlanticus; Tarpon
10.1007/s10641-015-0446-9,Catch and release; Citizen science; Conservation; Fish habitat; Recreational fishing
10.1007/s10641-015-0435-z,Catch and release; GIS; Management; Recreational fishing; Stakeholder
10.1890/14-1826.1,Abundance; Agriculture; Citizen science; Conservation prioritization; Dynamic conservation; eBird; Precision conservation; Spatiotemporal models; Species distribution models; Waterbirds
10.1093/jmammal/gyv100,camera trap; Canis latrans; citizen science; Felis catus; invasive species; protected areas
10.1007/s10698-015-9234-z,Controversies; Nanosciences; Nanotechnology; Public debates; Responsibility
10.1016/j.geoforum.2015.07.023,Citizen science; Ecological restoration; Expert-lay dynamics; Political ecology; Public participation; Volunteers
10.1371/journal.pone.0138071,
10.3390/s150924466,Facilities and obstructions; Pedestrian navigation service; Pedestrian network data; Transportation of vulnerable people; Volunteered geographic information
10.1007/s11252-014-0431-7,Citizen science; Garden; Hedgehog; Mammal; Urban biodiversity
10.1371/journal.pone.0135176,
10.1371/journal.pone.0135743,
10.5194/nhess-15-1985-2015,
10.1371/journal.pbio.1002240,
10.1016/j.compenvurbsys.2014.08.001,Digital divide; Geographically weighted general linear models; Social justice; Urban forests; Volunteered geographic information
10.3390/ijgi4031657,ATKIS Base DLM; Crowdsourced geoinformation; Data quality; Kappa; VGI
10.3390/ijgi4031530,Borderlands; Geospatial blog; Geoweb; Mashup; OpenStreetMap; Spatial publish/subscribe
10.3390/ijgi4031366,Assessment; Brazil; Geoinformation quality; Integration; VGI
10.3390/ijgi4031389,Content discovery; Disaster management; Interoperability; Quality assessment; Volunteered geographic information
10.3390/ijgi4031512,Activity space; Gender difference; GIS; Location-based social network; Travel behavior; Volunteered geographic information
10.3390/ijgi4031707,Incremental updating; Integration; Model transformation; Multi-version; OSM; Rule
10.1016/j.atg.2015.08.002,Big data; Citizen science; Crowd source; Next-generation sequencing; Variant Analysis
10.1002/2015SW001214,alerts; aurora; citizen science
