DOI,Q
10.1016/j.envpol.2014.12.028,Q73140060
10.1371/journal.pone.0133992,Q30388054
10.3957/056.043.0114,Q57023834
10.1525/auk.2013.12229,Q60559618
10.1016/j.gloenvcha.2012.12.012,Q73140449
10.1057/pol.2013.2,Q57730853
10.1111/j.1472-4642.2012.00947.x,Q59382957
10.1111/j.1600-0587.2012.07738.x,Q29032116
10.1007/s11569-013-0167-5,Q73135218
10.1159/000349916,Q47141100
10.1016/j.anbehav.2012.12.009,Q73137353
10.3390/ijgi2020276,Q73184855
10.1016/j.ecoser.2012.09.001,Q60560348
10.3390/ijgi2020385,Q73184859
10.1038/srep01835,Q28703575
10.3390/ijgi2020507,Q73184861
10.1371/journal.pone.0062763,Q34712751
10.1371/journal.pone.0064079,Q34731261
10.1179/0008704113Z.00000000081,Q73180554
10.1016/j.aquaeng.2012.11.004,Q73139227
10.1111/1365-2745.12067,Q73172038
10.1016/j.landurbplan.2013.01.009,Q73141048
10.11156/aibr.080202e,Q74021277
10.1126/science.1230855,Q38100151
10.1186/1472-6785-13-16,Q21996359
10.1016/j.futures.2013.02.002,Q36944417
10.1016/j.gloenvcha.2012.12.008,Q73140446
10.1080/10630732.2013.769313,Q73168186
10.1089/omi.2013.0034,Q28603157
10.1007/s10841-012-9523-y,Q73134271
10.1177/0963662513476812,Q33937909
10.1111/j.1541-0064.2012.00444.x,Q73173801
10.1016/j.techfore.2012.10.007,Q73141967
10.1007/s11191-011-9412-x,Q73135179
10.1016/j.resourpol.2012.08.001,Q73141515
10.1007/s10531-013-0436-1,Q73133909
10.1080/17524032.2012.753634,Q73168961
10.1017/S0025315412001166,Q58685384
10.1609/aimag.v34i1.2431,Q74021424
10.1098/rsbl.2012.1029,Q43184700
10.1080/14649365.2012.733407,Q73168887
10.1080/02560046.2013.766976,Q73167100
10.1177/0306312712462461,Q73177366
10.1093/scipol/scs073,Q73170026
10.1890/110106,Q73183801
10.5209/rev_TK.2015.v12.n3.49798,Q73230637
10.1002/wcc.405,Q73121676
10.1007/s11111-015-0249-0,Q73135158
10.22323/2.15040602,Q74021246
10.1614/0043-1745(2002)050[0547:PSLWSW]2.0.CO;2,Q73183525
10.1002/sce.21087,Q73121563
10.3390/rs8050386,Q61938650
10.1071/MU12009,Q60476949
10.1016/j.ascom.2013.10.001,Q73139230
10.1016/j.cageo.2015.12.003,Q59256205
10.1177/1073858410367520,Q48113619
10.1093/biosci/biv011,Q73169912
10.1080/13658816.2015.1058387,Q73168745
10.7717/peerj.1815,Q36778483
10.4039/tce.2012.64,Q73230503
10.1002/wsb.281,Q73121688
10.1016/j.apgeog.2004.03.006,Q73139154
10.1177/1075547005284668,Q58254081
10.1111/tgis.12073,Q73174884
10.1186/1476-069X-13-107,Q30389655
10.1016/j.landusepol.2016.04.027,Q73141099
10.1177/1354067X08099624,Q73180510
10.1080/00330124.2014.883956,Q73167033
10.3897/zookeys.585.8019,Q24200103
10.1068/a45252,Q73166311
10.1371/journal.pone.0129706,Q30388450
10.1080/11263504.2016.1179232,Q57912968
10.1080/17538947.2011.582888,Q73168973
10.1016/j.envsci.2015.05.008,Q56687041
10.3390/ijgi5030037,Q73184900
10.1890/120007,Q73183835
10.1093/icesjms/fst204,Q73169954
10.1080/03036758.2015.1023320,Q56760599
10.1016/j.eiar.2016.01.002,Q73140048
10.1109/JSTARS.2015.2495142,Q73171009
10.1080/13658816.2014.996567,Q73168734
10.3138/cart.51.2.3301,Q55831379
10.1177/1464884911412709,Q57564062
10.1613/jair.4434,Q73183523
10.1515/libri-2014-0001,Q73183407
10.1371/journal.pone.0047712,Q21090853
10.1016/j.ins.2013.07.013,Q73140687
10.1111/j.2041-210X.2010.00035.x,Q57273023
10.1007/s10514-010-9210-3,Q73133317
10.1007/s00267-014-0438-0,Q30884042
10.1007/s10531-011-0088-y,Q73133904
10.1890/130011,Q22273580
10.1016/j.compenvurbsys.2013.11.006,Q73139800
10.1016/j.fishres.2012.09.002,Q73140350
10.1016/j.tree.2009.03.017,Q42627030
10.1016/j.compenvurbsys.2014.07.006,Q73139804
10.1016/j.biocon.2015.06.009,Q73139307
10.1007/s12517-014-1265-6,Q73137194
10.1080/08920753.2013.863725,Q73167173
10.1080/15324982.2012.709214,Q59347943
10.1007/s11629-013-2827-x,Q73135244
10.1080/09640568.2012.685628,Q73168091
10.1089/omi.2013.0108,Q37686210
10.22323/2.14030501,Q74021249
10.1080/08920753.2013.822284,Q73167172
10.1111/icad.12142,Q60316977
10.5849/jof.14-118,Q73230744
10.1111/1365-2664.12561,Q57016193
10.1080/00063657.2014.969679,Q73166908
10.22323/2.14030101,Q74021252
10.1007/s10661-010-1582-5,Q37773824
10.1111/gec3.12213,Q73173596
10.1080/13658816.2015.1008492,Q73168741
10.18473/lepi.v65i4.a9,Q74021255
10.3390/ijgi5020010,Q73184895
10.1177/0963662510383632,Q73177448
10.1109/OCEANS.2012.6404865,Q74021256
10.1007/s10841-014-9733-6,Q73134274
10.1080/08941920903222572,Q73167997
10.1007/s10661-013-3333-x,Q39384961
10.3390/ijgi3041278,Q73184877
10.1038/4351018a,Q73165827
10.1098/rsbl.2015.0674,Q27347807
10.1080/10919392.2015.1125175,Q73168204
10.1111/1478-9302.12010,Q73172052
10.7203/metode.6.4402,Q73230763
10.1016/j.ijforecast.2010.05.002,Q73140670
10.1016/j.jvlc.2014.10.031,Q73141041
10.1016/j.rser.2014.08.030,Q73141538
10.1080/14498596.2011.623347,Q57921868
10.1080/15230406.2014.880327,Q73168902
10.1016/j.jglr.2014.12.015,Q73140782
10.1890/14-1826.1,Q40292987
10.1080/15627020.2005.11407305,Q58000297
10.1097/OPX.0b013e31824dabf3,Q73170106
10.1093/biosci/biv005,Q73169909
10.24908/ss.v13i3/4.5400,Q74021265
10.1111/ddi.12151,Q59849692
10.1080/00087041.2015.1108658,Q58419564
10.1071/WR14184,Q73166344
10.1371/journal.pone.0095565,Q30439487
10.1079/9781845939199.0122,Q74021266
10.1080/08920753.2011.566120,Q73167169
10.5751/ES-02400-130204,Q74021270
10.1590/1414-431X20133338,Q30572763
10.1098/rsbl.2015.0001,Q30933555
10.1080/17538947.2013.814449,Q73168985
10.1007/s10641-015-0446-9,Q57063801
10.5751/ES-05263-170431,Q73230699
10.1111/bij.12541,Q73172101
10.1073/pnas.1115898108,Q30409119
10.22323/2.15030201,Q73472467
10.3390/ijgi2030680,Q73184863
10.1071/IS15003,Q73166327
10.1353/con.2011.0009,Q74021271
10.3390/ijgi5020021,Q73184898
10.1111/bij.12576,Q56417739
10.1371/journal.pone.0143687,Q31027631
10.3390/ijgi1020166,Q73184849
10.1080/08941920802119648,Q57574081
10.1016/j.landurbplan.2012.06.007,Q73141045
10.1016/j.geoforum.2010.03.006,Q73140417
10.1071/MUv111n2_ED,Q73166337
10.1525/abt.2010.72.6.5,Q73183420
10.1016/j.apgeog.2014.01.008,Q73139180
10.1016/j.jenvman.2014.02.018,Q30794463
10.1002/wsb.642,Q73121701
10.1111/tgis.12139,Q73174894
10.3390/f4041199,Q60136203
10.1109/JSTARS.2016.2539362,Q73171011
10.1016/j.jag.2012.03.008,Q73140701
10.1007/s00267-012-9818-5,Q51472091
10.1016/j.actaastro.2011.04.015,Q73137338
10.1111/xen.12120,Q38231533
10.1007/s10641-015-0440-2,Q54528739
10.1177/095624789500700119,Q73177402
10.1177/0963662509340092,Q73177429
10.5194/nhess-15-1985-2015,Q57870674
10.1111/tgis.12051,Q73174883
10.1109/CEC.2012.29,Q73170933
10.1016/j.compenvurbsys.2014.10.004,Q73139806
10.3390/ijgi1020146,Q30052113
10.12705/626.4,Q28949370
10.1080/13658816.2015.1063640,Q73168747
10.1371/journal.pone.0042574,Q34374356
10.1371/journal.pone.0151387,Q28602795
10.1111/ddi.12041,Q73172208
10.1186/s13071-014-0604-5,Q28651721
10.13157/arla.63.1.2016.ed1,Q60297505
10.1007/s11414-012-9285-z,Q39596519
10.1371/journal.pone.0146964,Q31051459
10.1016/j.landurbplan.2013.02.007,Q73141050
10.1007/s10763-010-9234-3,Q73134244
10.1002/jwmg.855,Q73121420
10.3390/ijgi3041211,Q55833345
10.1080/14498596.2014.927337,Q59140234
10.1007/s00484-014-0892-7,Q39136450
10.1111/j.1523-1739.2012.01825.x,Q40027539
10.1111/j.1467-9671.2012.01304.x,Q57538222
10.1057/hep.2011.19,Q73166286
10.1525/auk.2012.12058,Q73183433
10.1111/j.1475-4959.2005.00173.x,Q73173759
10.1007/s00040-015-0427-1,Q73121939
10.1890/13-1323.1,Q73183837
10.1371/journal.pone.0034505,Q34230181
10.1080/17538947.2015.1039609,Q73168993
10.1111/tgis.12168,Q56408392
10.1080/13658816.2011.636012,Q73168710
10.1016/j.ecolind.2015.11.004,Q57030524
10.1111/tgis.12033,Q60400718
10.1007/s10707-012-0159-6,Q58419577
10.1177/0963662514545014,Q38244058
10.1071/WF13173,Q60136131
10.1017/S0376892910000251,Q73165744
10.1093/jee/tov296,Q38947921
10.1046/j.1526-0992.1998.98099.x,Q73166261
10.1111/jawr.12213,Q73173855
10.1016/j.spasta.2012.03.002,Q73141955
10.3847/0004-637X/823/1/32,Q69121914
10.1111/j.1755-263X.2010.00159.x,Q56554290
10.1016/j.foreco.2009.04.031,Q73140366
10.1097/01.BCR.0000217578.47909.7f,Q73170066
10.1023/B:EMAS.0000009228.09204.b7,Q44767936
10.1068/a44674,Q73166308
10.1002/2015SW001214,Q56551803
10.1016/j.apgeog.2013.05.005,Q73139170
10.1177/0265813515604767,Q73177327
10.1371/journal.pone.0150899,Q35952058
10.1890/08-2128.1,Q46678879
10.1007/s11948-008-9089-y,Q57155707
10.1145/2675133.2675278,Q73175144
10.1007/s11673-009-9142-9,Q73135249
10.1016/j.ecolecon.2010.03.001,Q57516006
10.1080/1369118X.2014.946434,Q73168813
10.1080/1523908X.2014.936582,Q73168942
10.3354/meps09737,Q60572840
10.3176/proc.2016.1.08,Q73184579
10.1016/j.jrurstud.2016.02.015,Q73141003
10.14512/gaia.23.3.9,Q74021281
10.1080/14636778.2013.764068,Q73168857
10.1016/j.shpsa.2009.10.010,Q33580554
10.1179/0308018813Z.00000000050,Q58585128
10.1016/j.gloenvcha.2015.01.006,Q73140458
10.1080/14636778.2015.1105130,Q73168884
10.1111/j.1467-8306.2006.00480.x,Q58244173
10.1109/OCEANS.2012.6404783,Q74021285
10.1080/21548455.2015.1043659,Q73169757
10.22323/2.14030301,Q74021288
10.1111/bij.12517,Q73172098
10.1111/j.1472-4642.2009.00615.x,Q56687047
10.1016/j.rbmo.2010.10.001,Q37812948
10.1666/13-085,Q28608611
10.4018/978-1-59140-845-1.ch003,Q74021292
10.1111/bij.12532,Q56417562
10.1177/0963662510377233,Q61465326
10.1080/14636778.2010.507487,Q73168849
10.1177/0963662509335523,Q57154225
10.1007/s10897-010-9305-1,Q27010377
10.3732/ajb.1000296,Q33912251
10.1007/s10531-010-9817-x,Q60446031
10.1007/s00267-012-9909-3,Q34355816
10.4081/jlimnol.2014.795,Q73230506
10.1093/biosci/biv174,Q60440706
10.1080/10598650.2015.1126060,Q58509302
10.1162/LEON_a_00098,Q73177241
10.5751/ACE-00427-050213,Q74021297
10.3390/su4091984,Q73186695
10.1007/s10750-013-1522-9,Q56449152
10.1177/0971721815622740,Q73180398
10.1080/11263504.2016.1179234,Q57912969
10.1038/srep07249,Q30844518
10.1177/1075547015611131,Q73180490
10.1177/1075547014560828,Q73180478
10.1068/c0610j,Q73166315
10.22323/2.15030202,Q73472472
10.1186/s40064-016-1856-7,Q27318968
10.1177/0162243909337121,Q73177297
10.1016/j.envsoft.2012.01.018,Q73140303
10.1080/08941920.2015.1080338,Q73167185
10.1007/s11011-015-9687-8,Q28088729
10.1177/0963662513476403,Q50732642
10.1007/s10980-015-0299-9,Q73134295
10.5334/cstp.10,Q58711756
10.1111/j.1539-6924.2010.01385.x,Q53472999
10.1016/j.geoderma.2015.05.006,Q73140411
10.1177/0963662515607406,Q38601649
10.1071/WR12092,Q73166340
10.1016/j.envpol.2013.03.034,Q55979408
10.1007/s00267-013-0171-0,Q35000372
10.1016/j.tree.2013.05.011,Q38115882
10.1371/journal.pone.0139600,Q30400933
10.1177/1075547009339048,Q73180426
10.1080/17524032.2014.999695,Q58241873
10.1007/s00267-012-9924-4,Q34372074
10.22323/2.15010501,Q73472449
10.1016/j.jeap.2013.10.005,Q73140730
10.3200/AEOH.58.5.267-274,Q52958683
10.1016/S0955-5986(02)00056-0,Q73142068
10.1111/biom.12431,Q35818969
10.1145/2531602.2531689,Q73175135
10.2752/175630613X13584367984947,Q55887763
10.1179/1743277411Y.0000000021,Q73180556
10.1177/0309132513514005,Q73177386
10.3390/f6010133,Q56554302
10.1093/jmammal/gyv100,Q56427059
10.2516/ogst/2014024,Q57764150
10.22323/2.15010202,Q73472450
10.22323/2.15010201,Q73472454
10.1016/j.jnc.2015.05.001,Q58067758
10.2989/16085906.2010.484584,Q38872762
10.1186/1471-2458-12-428,Q28728662
10.3354/cr01172,Q57018474
10.1002/tea.21090,Q73121577
10.1007/s10956-011-9296-1,Q73134286
10.1890/14-0171.1,Q59546601
10.1371/journal.pone.0147121,Q28601856
10.1890/11-2177.1,Q34396221
10.3354/meps10804,Q60438381
10.2307/3298560,Q73183956
10.1016/j.chiabu.2014.11.013,Q30881334
10.1109/TE.2009.2025267,Q73171041
10.3141/2495-11,Q73184047
10.1016/j.rse.2016.04.022,Q58382253
10.1109/ICICEE.2012.529,Q73170985
10.1016/j.watres.2009.09.014,Q39944145
10.30638/eemj.2015.222,Q73184018
10.1111/j.1931-0846.2010.00026.x,Q74021334
10.1553/giscience2014s299,Q73183479
10.1162/DESI_a_00296,Q73177235
10.3897/natureconservation.11.4439,Q73186822
10.1371/journal.pone.0156425,Q36048254
10.1007/s10393-015-1054-z,Q38576042
10.1371/journal.pone.0135176,Q33445117
10.1007/s10021-015-9842-4,Q58829932
10.1146/annurev-ecolsys-102209-144636,Q56029875
10.1177/0963662513497324,Q47623319
10.1080/03632415.2016.1159063,Q73167143
10.1371/journal.pone.0130159,Q30976559
10.1890/1540-9295-10.6.283,Q74021338
10.1111/j.1468-4004.2012.53604_3.x,Q73173746
10.1016/j.envsci.2014.10.007,Q73140077
10.1061/(ASCE)WR.1943-5452.0000641,Q73166293
10.1890/140299,Q57437729
10.1016/j.envpol.2016.04.066,Q40370570
10.1016/j.landurbplan.2014.10.020,Q73141061
10.7183/0002-7316.79.4.749,Q73230756
10.1002/cpe.3705,Q73119731
10.1080/00045608.2011.627058,Q58296791
10.1109/MCSE.2015.72,Q73171022
10.1038/521161d,Q45013466
10.1038/nbt0516-452c,Q74021347
10.1890/110258,Q58316770
10.1177/0963662515602406,Q33445020
10.1111/jlme.12327,Q33446459
10.1186/s12910-016-0117-1,Q24658620
10.1371/journal.pone.0140973,Q30386849
10.1371/journal.pone.0065408,Q30452515
10.1016/j.biocon.2014.11.022,Q73139298
10.1371/journal.pone.0018927,Q21089970
10.1016/j.biocon.2014.09.027,Q57030554
10.1511/2013.104.378,Q74021351
10.1038/scientificamerican1012-48,Q73166161
10.1109/MCSE.2015.42,Q73171016
10.1525/bio.2009.59.11.9,Q55920509
10.1007/s11284-015-1314-y,Q56422389
10.1016/j.beproc.2014.10.014,Q43836568
10.1177/016224399702200406,Q57075187
10.1146/annurev-environ-030713-154609,Q73177201
10.1007/s00484-014-0806-8,Q44335665
10.1038/srep02239,Q30656039
10.1071/WR10007,Q73166339
10.1177/017084069701800109,Q73177319
10.1136/vr.c2815,Q73175110
10.1080/13669877.2011.634516,Q73168805
10.1890/ES14-00290.1,Q55451238
10.1016/j.envdev.2014.11.003,Q58869679
10.5751/ES-01681-110111,Q74021357
10.1016/j.jag.2015.11.017,Q58638172
10.1371/journal.pbio.1002280,Q28608503
10.1016/j.ecoser.2013.11.002,Q61791267
10.1177/1075547098020001008,Q73180503
10.1080/00369229418736902,Q73167049
10.1111/j.1541-0072.2010.00360.x,Q73173803
10.1121/1.4861348,Q45329263
10.3390/ijerph121215044,Q35875487
10.1007/s10841-015-9811-4,Q73134280
10.1080/03632415.2015.1049692,Q73167137
10.1002/wcc.319,Q58485777
10.1002/wcc.249,Q57917864
10.1002/wcc.392,Q73121667
10.1080/17524032.2011.610809,Q73168958
10.1111/gcb.12740,Q30861513
10.1002/wcc.258,Q57717323
10.1111/j.1541-0064.2012.00418.x,Q57924566
10.1177/0309133312456414,Q58392920
10.1016/j.biocon.2012.12.024,Q60287226
10.1111/geoj.12116,Q56335673
10.1111/j.1570-7458.2012.01234.x,Q73173811
10.1111/j.1365-2656.2010.01780.x,Q33758810
10.1073/pnas.1418414112,Q35669370
10.1177/1075547015581927,Q73180484
10.1007/s10460-014-9531-5,Q59412790
10.1017/S0025315414000137,Q57947057
10.1177/0306312711430440,Q73177362
10.3354/aei00009,Q73184602
10.18814/epiiugs/2011/v34i2/002,Q74021363
10.1007/s10531-005-8410-1,Q56554264
10.1068/c1174j,Q73166319
10.1071/MF14071,Q73166331
10.1007/BF02188873,Q52028867
10.4018/978-1-59140-845-1.ch001,Q74021364
10.1080/08920750600970487,Q73167167
10.2166/wst.2007.165,Q58998639
10.1111/j.1467-8306.2006.00512.x,Q58263123
10.1371/journal.pone.0153586,Q27313669
10.1017/S0269889711000329,Q73165729
10.1080/00221341.2011.652648,Q73166985
10.1007/s10530-011-0092-x,Q56570643
10.1016/j.apgeog.2015.03.007,Q73139189
10.1086/678977,Q73169795
10.1371/journal.pntd.0004235,Q35866800
10.3390/f5102464,Q56554298
10.1016/j.eiar.2010.05.002,Q73140046
10.1016/j.landurbplan.2015.08.009,Q73141070
10.1007/s11051-011-0311-5,Q73135118
10.5751/ES-00160-040109,Q74021369
10.1016/j.compenvurbsys.2011.05.009,Q57403671
10.5751/ACE-00569-080101,Q61899739
10.1111/conl.12109,Q56446624
10.1002/wcc.276,Q73121653
10.14512/gaia.23.1.9,Q74021370
10.3200/ENVT.51.2.12-23,Q56638863
10.1002/wcc.366,Q58338195
10.1080/00393630.2015.1117856,Q58686375
10.1080/14634988.2012.729780,Q73168843
10.1002/ghg.1435,Q73119870
10.1177/0093650214534967,Q73177274
10.5751/ES-06644-200102,Q73230704
10.2166/wst.2001.0522,Q74021372
10.1093/ije/dyh010,Q35779542
10.2166/wst.2002.0395,Q74021374
10.1080/02691728.2014.971911,Q73167108
10.1016/j.envsci.2010.12.004,Q73140071
10.1080/03098265.2014.908351,Q73167131
10.1179/oeh.2002.8.3.220,Q74021378
10.1016/j.ecolind.2011.12.004,Q73140024
10.1057/9780230303805_9,Q74021380
10.1007/s10661-005-9088-2,Q53132552
10.1111/gwat.12336,Q41137402
10.1016/j.ocecoaman.2016.04.006,Q73141416
10.1201/9781420070583-c3,Q74021383
10.1108/09653561211202728,Q73170899
10.1080/13549839.2005.9684248,Q73168229
10.1007/s10531-005-8402-1,Q56554271
10.1007/s10531-005-8399-5,Q56554273
10.1080/08941920490452526,Q73167988
10.1007/s13280-010-0041-4,Q30395086
10.1289/ehp.11399,Q36940832
10.1080/13576280110051055,Q74021386
10.1080/13658810903213288,Q73168245
10.1177/0094306116629410gg,Q73177276
10.1111/tgis.12135,Q73174892
10.3141/2217-18,Q73184044
10.1093/scipol/scs091,Q73170032
10.1016/j.rse.2015.01.012,Q58405738
10.1016/j.jnc.2015.01.002,Q73140977
10.1371/journal.pone.0069958,Q30000785
10.1007/s10661-011-2185-5,Q33955565
10.1007/s10841-014-9739-0,Q73134276
10.1016/j.jenvp.2016.01.007,Q73140776
10.1080/03036758.2015.1011172,Q60401545
10.3917/sss.334.0005,Q74021389
10.1016/j.jas.2014.05.014,Q73140719
10.1080/13658816.2013.790548,Q73168718
10.1080/13658816.2015.1076825,Q73168750
10.7717/peerj.1058,Q28646090
10.1177/0963662511400331,Q48442706
10.1023/A:1021300302208,Q39343132
10.3138/jcs.37.3.219,Q74021395
10.1177/1075547013478203,Q73180473
10.1007/s11948-011-9302-2,Q37924169
10.1016/j.ijhcs.2014.10.003,Q73140675
10.1016/S0140-6736(15)61150-3,Q38539946
10.1080/13555502.2015.1022053,Q58356316
10.3390/s150717013,Q30387835
10.1111/gcb.13097,Q31008901
10.1071/MU15056,Q57236275
10.1016/j.biocon.2014.11.045,Q73139301
10.1016/j.geoforum.2015.07.023,Q73140427
10.1017/S003060531300046X,Q56447173
10.1177/0963662510379084,Q73177441
10.1890/110266,Q73183808
10.1177/1464884914564845,Q73180526
10.1890/140209,Q73183848
10.1073/pnas.1317512111,Q28655101
10.1525/bio.2011.61.6.8,Q56752544
10.1007/s11051-011-0227-0,Q57436350
10.1093/scipol/sct063,Q73170038
10.1007/s10606-014-9204-3,Q73133934
10.1023/B:EMAS.0000016885.00426.c0,Q51000679
10.3390/ijgi4041848,Q73184894
10.1007/s10531-012-0355-6,Q73133906
10.1177/0309132510392164,Q73177382
10.1140/epjds7,Q59292063
10.1073/pnas.1408907112,Q28650989
10.1002/asi.23316,Q73119676
10.1016/j.respol.2013.07.005,Q24496156
10.1109/IGARSS.2010.5648833,Q73170990
10.1145/2675133.2675188,Q73175141
10.2196/jmir.1988,Q28480448
10.1111/cag.12170,Q73172124
10.1016/j.futures.2014.02.005,Q73140398
10.1111/j.1759-5436.2011.00240.x,Q73173823
10.1080/17538941003759255,Q73168968
10.1080/13658816.2013.873440,Q73168727
10.1111/cag.12165,Q73172121
